input_toks	output_toks	arrival_time_ns
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
1024	1	0
