model: gpt3-13b, num requests: 256, total length: 256, prompt/kv_cache length: ['354', '251', '244', '241', '211', '207', '195', '167', '164', '164', '173', '155', '154', '152', '142', '137', '138', '135', '134', '134', '132', '130', '127', '122', '121', '120', '119', '116', '112', '111', '109', '109', '107', '106', '117', '116', '103', '102', '101', '100', '99', '98', '98', '98', '97', '96', '95', '93', '92', '90', '90', '90', '89', '88', '89', '88', '86', '83', '83', '83', '82', '81', '81', '80', '80', '80', '78', '81', '76', '74', '71', '70', '70', '70', '69', '69', '69', '68', '67', '67', '66', '67', '65', '64', '64', '62', '61', '61', '60', '60', '59', '59', '59', '59', '57', '57', '56', '62', '61', '56', '55', '55', '54', '54', '54', '53', '53', '53', '53', '53', '52', '52', '52', '51', '51', '51', '51', '50', '49', '48', '48', '48', '48', '48', '54', '51', '48', '43', '42', '42', '42', '41', '41', '41', '41', '40', '40', '40', '40', '39', '39', '39', '38', '38', '37', '37', '37', '36', '42', '39', '38', '38', '37', '36', '36', '36', '35', '34', '34', '32', '32', '31', '31', '31', '31', '30', '30', '30', '29', '29', '28', '28', '28', '27', '27', '34', '31', '30', '28', '27', '25', '24', '24', '24', '23', '23', '23', '23', '23', '22', '21', '21', '21', '21', '20', '20', '20', '19', '19', '19', '18', '18', '18', '18', '18', '17', '17', '16', '16', '16', '20', '18', '17', '17', '17', '16', '15', '15', '15', '15', '15', '14', '14', '14', '13', '13', '13', '12', '12', '12', '12', '12', '11', '11', '11', '11', '10', '10', '10', '10', '10', '10', '9', '9', '9', '9', '8', '8', '8', '8', '7', '7', '6', '6', '6', '6']
[0.5s] Avg Throughput: propmt: 0, generation: 512
---------------------------
Exiting The Simulator
Unfreed Memory Exists
Checking Non-Exited Systems ...
---------------------------
All Request Has Been Exited
---------------------------
{'id': 0, 'model': 'gpt3-13b', 'input': 354, 'output': 355, 'arrival': 0, 'end_time': 19504038, 'latency': 19504038}
{'id': 1, 'model': 'gpt3-13b', 'input': 251, 'output': 252, 'arrival': 0, 'end_time': 19504038, 'latency': 19504038}
{'id': 2, 'model': 'gpt3-13b', 'input': 244, 'output': 245, 'arrival': 0, 'end_time': 19504038, 'latency': 19504038}
{'id': 3, 'model': 'gpt3-13b', 'input': 241, 'output': 242, 'arrival': 0, 'end_time': 19504038, 'latency': 19504038}
{'id': 4, 'model': 'gpt3-13b', 'input': 211, 'output': 212, 'arrival': 0, 'end_time': 19504038, 'latency': 19504038}
{'id': 5, 'model': 'gpt3-13b', 'input': 207, 'output': 208, 'arrival': 0, 'end_time': 19504038, 'latency': 19504038}
{'id': 6, 'model': 'gpt3-13b', 'input': 195, 'output': 196, 'arrival': 0, 'end_time': 19504038, 'latency': 19504038}
{'id': 7, 'model': 'gpt3-13b', 'input': 167, 'output': 168, 'arrival': 0, 'end_time': 19504038, 'latency': 19504038}
{'id': 8, 'model': 'gpt3-13b', 'input': 164, 'output': 165, 'arrival': 0, 'end_time': 19504038, 'latency': 19504038}
{'id': 9, 'model': 'gpt3-13b', 'input': 164, 'output': 165, 'arrival': 0, 'end_time': 19504038, 'latency': 19504038}
{'id': 10, 'model': 'gpt3-13b', 'input': 173, 'output': 174, 'arrival': 0, 'end_time': 19504038, 'latency': 19504038}
{'id': 11, 'model': 'gpt3-13b', 'input': 155, 'output': 156, 'arrival': 0, 'end_time': 19504038, 'latency': 19504038}
{'id': 12, 'model': 'gpt3-13b', 'input': 154, 'output': 155, 'arrival': 0, 'end_time': 19504038, 'latency': 19504038}
{'id': 13, 'model': 'gpt3-13b', 'input': 152, 'output': 153, 'arrival': 0, 'end_time': 19504038, 'latency': 19504038}
{'id': 14, 'model': 'gpt3-13b', 'input': 142, 'output': 143, 'arrival': 0, 'end_time': 19504038, 'latency': 19504038}
