model: gpt3-6.7b, num requests: 128, total length: 128, prompt/kv_cache length: ['384', '298', '258', '192', '189', '180', '176', '172', '152', '133', '124', '118', '114', '112', '111', '110', '109', '107', '105', '102', '98', '98', '95', '93', '91', '90', '89', '86', '86', '86', '83', '80', '78', '78', '77', '77', '75', '74', '72', '71', '70', '69', '69', '67', '67', '66', '64', '63', '61', '60', '60', '59', '58', '58', '56', '56', '55', '55', '53', '52', '51', '51', '51', '51', '50', '49', '48', '48', '46', '43', '42', '41', '41', '41', '40', '39', '39', '38', '37', '36', '34', '33', '33', '32', '31', '30', '30', '30', '30', '29', '29', '28', '27', '26', '25', '25', '24', '23', '21', '20', '20', '20', '19', '19', '18', '18', '18', '17', '17', '16', '16', '15', '14', '14', '13', '13', '12', '12', '11', '11', '11', '10', '10', '10', '9', '9', '9', '8']
model: gpt3-6.7b, num requests: 128, total length: 128, prompt/kv_cache length: ['355', '272', '203', '190', '186', '177', '173', '165', '142', '131', '124', '117', '112', '112', '110', '110', '109', '106', '104', '100', '98', '97', '95', '92', '90', '90', '89', '86', '86', '84', '82', '80', '78', '77', '77', '76', '74', '73', '72', '70', '69', '69', '69', '67', '67', '65', '63', '61', '61', '60', '59', '59', '58', '57', '56', '55', '55', '53', '52', '52', '51', '51', '51', '50', '49', '48', '48', '47', '44', '43', '42', '41', '41', '41', '40', '39', '38', '37', '37', '34', '33', '33', '32', '31', '30', '30', '30', '30', '29', '29', '28', '28', '26', '26', '25', '24', '23', '21', '21', '20', '20', '19', '19', '18', '18', '18', '17', '17', '16', '16', '15', '14', '14', '14', '13', '13', '12', '12', '11', '11', '11', '10', '10', '9', '9', '9', '9', '8']
[0.5s] Avg Throughput: propmt: 0, generation: 512
---------------------------
Exiting The Simulator
Unfreed Memory Exists
Checking Non-Exited Systems ...
---------------------------
All Request Has Been Exited
---------------------------
{'id': 0, 'model': 'gpt3-6.7b', 'input': 384, 'output': 385, 'arrival': 0, 'end_time': 17290536, 'latency': 17290536}
{'id': 1, 'model': 'gpt3-6.7b', 'input': 355, 'output': 356, 'arrival': 0, 'end_time': 17290536, 'latency': 17290536}
{'id': 2, 'model': 'gpt3-6.7b', 'input': 298, 'output': 299, 'arrival': 0, 'end_time': 17290536, 'latency': 17290536}
{'id': 3, 'model': 'gpt3-6.7b', 'input': 272, 'output': 273, 'arrival': 0, 'end_time': 17290536, 'latency': 17290536}
{'id': 4, 'model': 'gpt3-6.7b', 'input': 258, 'output': 259, 'arrival': 0, 'end_time': 17290536, 'latency': 17290536}
{'id': 5, 'model': 'gpt3-6.7b', 'input': 203, 'output': 204, 'arrival': 0, 'end_time': 17290536, 'latency': 17290536}
{'id': 6, 'model': 'gpt3-6.7b', 'input': 192, 'output': 193, 'arrival': 0, 'end_time': 17290536, 'latency': 17290536}
{'id': 7, 'model': 'gpt3-6.7b', 'input': 190, 'output': 191, 'arrival': 0, 'end_time': 17290536, 'latency': 17290536}
{'id': 8, 'model': 'gpt3-6.7b', 'input': 189, 'output': 190, 'arrival': 0, 'end_time': 17290536, 'latency': 17290536}
{'id': 9, 'model': 'gpt3-6.7b', 'input': 186, 'output': 187, 'arrival': 0, 'end_time': 17290536, 'latency': 17290536}
{'id': 10, 'model': 'gpt3-6.7b', 'input': 180, 'output': 181, 'arrival': 0, 'end_time': 17290536, 'latency': 17290536}
{'id': 11, 'model': 'gpt3-6.7b', 'input': 177, 'output': 178, 'arrival': 0, 'end_time': 17290536, 'latency': 17290536}
{'id': 12, 'model': 'gpt3-6.7b', 'input': 176, 'output': 177, 'arrival': 0, 'end_time': 17290536, 'latency': 17290536}
{'id': 13, 'model': 'gpt3-6.7b', 'input': 173, 'output': 174, 'arrival': 0, 'end_time': 17290536, 'latency': 17290536}
{'id': 14, 'model': 'gpt3-6.7b', 'input': 172, 'output': 173, 'arrival': 0, 'end_time': 17290536, 'latency': 17290536}
