model: gpt3-13b, num requests: 256, total length: 256, prompt/kv_cache length: ['341', '297', '285', '245', '242', '228', '216', '203', '195', '190', '181', '169', '145', '142', '141', '138', '139', '138', '131', '131', '131', '121', '121', '120', '116', '115', '116', '115', '114', '114', '113', '113', '112', '111', '110', '109', '109', '101', '100', '99', '95', '94', '94', '93', '90', '90', '88', '88', '93', '89', '86', '86', '84', '83', '83', '83', '81', '81', '81', '81', '80', '80', '79', '78', '78', '77', '76', '76', '75', '73', '73', '71', '71', '70', '69', '67', '84', '77', '67', '65', '64', '63', '63', '63', '62', '61', '60', '60', '60', '60', '59', '59', '59', '59', '59', '59', '58', '58', '57', '56', '60', '59', '58', '55', '55', '55', '54', '53', '53', '51', '51', '50', '50', '50', '50', '49', '49', '48', '48', '48', '46', '50', '45', '45', '45', '45', '44', '44', '44', '44', '44', '42', '42', '41', '41', '41', '41', '40', '40', '40', '40', '39', '39', '39', '38', '38', '37', '37', '36', '38', '36', '34', '34', '34', '34', '33', '32', '32', '32', '31', '31', '31', '31', '30', '30', '29', '29', '29', '29', '29', '29', '29', '28', '28', '28', '28', '27', '27', '26', '50', '39', '38', '34', '28', '28', '26', '25', '24', '24', '24', '23', '23', '23', '22', '21', '21', '21', '21', '21', '21', '20', '20', '20', '20', '19', '19', '19', '18', '17', '16', '23', '21', '20', '19', '16', '16', '15', '15', '15', '15', '14', '14', '14', '13', '13', '13', '12', '12', '12', '12', '12', '12', '12', '12', '11', '11', '11', '10', '10', '10', '10', '10', '9', '9', '9', '9', '9', '8', '8', '8', '8', '8', '8', '7', '6', '6']
[0.5s] Avg Throughput: propmt: 0, generation: 512
---------------------------
Exiting The Simulator
Unfreed Memory Exists
Checking Non-Exited Systems ...
---------------------------
All Request Has Been Exited
---------------------------
{'id': 0, 'model': 'gpt3-13b', 'input': 341, 'output': 342, 'arrival': 0, 'end_time': 9847656, 'latency': 9847656}
{'id': 1, 'model': 'gpt3-13b', 'input': 297, 'output': 298, 'arrival': 0, 'end_time': 9847656, 'latency': 9847656}
{'id': 2, 'model': 'gpt3-13b', 'input': 285, 'output': 286, 'arrival': 0, 'end_time': 9847656, 'latency': 9847656}
{'id': 3, 'model': 'gpt3-13b', 'input': 245, 'output': 246, 'arrival': 0, 'end_time': 9847656, 'latency': 9847656}
{'id': 4, 'model': 'gpt3-13b', 'input': 242, 'output': 243, 'arrival': 0, 'end_time': 9847656, 'latency': 9847656}
{'id': 5, 'model': 'gpt3-13b', 'input': 228, 'output': 229, 'arrival': 0, 'end_time': 9847656, 'latency': 9847656}
{'id': 6, 'model': 'gpt3-13b', 'input': 216, 'output': 217, 'arrival': 0, 'end_time': 9847656, 'latency': 9847656}
{'id': 7, 'model': 'gpt3-13b', 'input': 203, 'output': 204, 'arrival': 0, 'end_time': 9847656, 'latency': 9847656}
{'id': 8, 'model': 'gpt3-13b', 'input': 195, 'output': 196, 'arrival': 0, 'end_time': 9847656, 'latency': 9847656}
{'id': 9, 'model': 'gpt3-13b', 'input': 190, 'output': 191, 'arrival': 0, 'end_time': 9847656, 'latency': 9847656}
{'id': 10, 'model': 'gpt3-13b', 'input': 181, 'output': 182, 'arrival': 0, 'end_time': 9847656, 'latency': 9847656}
{'id': 11, 'model': 'gpt3-13b', 'input': 169, 'output': 170, 'arrival': 0, 'end_time': 9847656, 'latency': 9847656}
{'id': 12, 'model': 'gpt3-13b', 'input': 145, 'output': 146, 'arrival': 0, 'end_time': 9847656, 'latency': 9847656}
{'id': 13, 'model': 'gpt3-13b', 'input': 142, 'output': 143, 'arrival': 0, 'end_time': 9847656, 'latency': 9847656}
{'id': 14, 'model': 'gpt3-13b', 'input': 141, 'output': 142, 'arrival': 0, 'end_time': 9847656, 'latency': 9847656}
