model: gpt3-30b, num requests: 256, total length: 256, prompt/kv_cache length: ['839', '321', '261', '254', '254', '253', '228', '221', '185', '173', '166', '166', '169', '164', '163', '160', '143', '142', '142', '139', '135', '135', '133', '130', '129', '124', '122', '121', '120', '120', '119', '117', '117', '113', '113', '112', '111', '110', '110', '108', '107', '106', '104', '100', '98', '97', '97', '95', '95', '94', '93', '92', '91', '91', '90', '90', '90', '89', '89', '89', '87', '87', '85', '83', '82', '82', '81', '80', '79', '79', '79', '78', '77', '75', '74', '73', '73', '71', '71', '70', '70', '70', '69', '68', '68', '68', '67', '83', '70', '69', '68', '66', '65', '63', '63', '63', '63', '61', '61', '61', '61', '61', '61', '61', '60', '60', '59', '59', '59', '57', '55', '55', '55', '54', '54', '53', '51', '50', '50', '50', '50', '49', '49', '48', '58', '54', '48', '45', '45', '44', '42', '41', '40', '40', '39', '39', '38', '38', '38', '37', '37', '37', '36', '35', '38', '37', '35', '35', '35', '34', '33', '32', '32', '32', '31', '31', '31', '31', '30', '30', '29', '29', '28', '28', '27', '27', '62', '37', '32', '31', '31', '30', '29', '29', '27', '26', '25', '24', '23', '23', '22', '22', '22', '22', '22', '21', '21', '20', '20', '20', '20', '20', '20', '19', '19', '19', '18', '18', '18', '16', '48', '33', '29', '24', '21', '20', '19', '18', '17', '17', '16', '16', '16', '16', '15', '15', '15', '14', '14', '14', '13', '13', '12', '12', '12', '11', '11', '11', '10', '10', '10', '10', '10', '10', '10', '10', '9', '9', '9', '9', '9', '9', '8', '8', '8', '8', '8', '8', '8', '7', '7', '7', '6', '6', '6', '6']
[0.5s] Avg Throughput: propmt: 0, generation: 512
---------------------------
Exiting The Simulator
Unfreed Memory Exists
Checking Non-Exited Systems ...
---------------------------
All Request Has Been Exited
---------------------------
{'id': 0, 'model': 'gpt3-30b', 'input': 839, 'output': 840, 'arrival': 0, 'end_time': 21194481, 'latency': 21194481}
{'id': 1, 'model': 'gpt3-30b', 'input': 321, 'output': 322, 'arrival': 0, 'end_time': 21194481, 'latency': 21194481}
{'id': 2, 'model': 'gpt3-30b', 'input': 261, 'output': 262, 'arrival': 0, 'end_time': 21194481, 'latency': 21194481}
{'id': 3, 'model': 'gpt3-30b', 'input': 254, 'output': 255, 'arrival': 0, 'end_time': 21194481, 'latency': 21194481}
{'id': 4, 'model': 'gpt3-30b', 'input': 254, 'output': 255, 'arrival': 0, 'end_time': 21194481, 'latency': 21194481}
{'id': 5, 'model': 'gpt3-30b', 'input': 253, 'output': 254, 'arrival': 0, 'end_time': 21194481, 'latency': 21194481}
{'id': 6, 'model': 'gpt3-30b', 'input': 228, 'output': 229, 'arrival': 0, 'end_time': 21194481, 'latency': 21194481}
{'id': 7, 'model': 'gpt3-30b', 'input': 221, 'output': 222, 'arrival': 0, 'end_time': 21194481, 'latency': 21194481}
{'id': 8, 'model': 'gpt3-30b', 'input': 185, 'output': 186, 'arrival': 0, 'end_time': 21194481, 'latency': 21194481}
{'id': 9, 'model': 'gpt3-30b', 'input': 173, 'output': 174, 'arrival': 0, 'end_time': 21194481, 'latency': 21194481}
{'id': 10, 'model': 'gpt3-30b', 'input': 166, 'output': 167, 'arrival': 0, 'end_time': 21194481, 'latency': 21194481}
{'id': 11, 'model': 'gpt3-30b', 'input': 166, 'output': 167, 'arrival': 0, 'end_time': 21194481, 'latency': 21194481}
{'id': 12, 'model': 'gpt3-30b', 'input': 169, 'output': 170, 'arrival': 0, 'end_time': 21194481, 'latency': 21194481}
{'id': 13, 'model': 'gpt3-30b', 'input': 164, 'output': 165, 'arrival': 0, 'end_time': 21194481, 'latency': 21194481}
{'id': 14, 'model': 'gpt3-30b', 'input': 163, 'output': 164, 'arrival': 0, 'end_time': 21194481, 'latency': 21194481}
